order_id,order_date,region,category,customer_id,sales,quantity
AT-0001,2024-01-01,East,Furniture,C-0001,100.0,1
AT-0002,2024-01-02,West,Office Supplies,C-0002,100.0,1
AT-0003,2024-01-03,Central,Technology,C-0003,100.0,1
AT-0004,2024-01-04,South,Furniture,C-0004,100.0,1
AT-0005,2024-01-05,East,Office Supplies,C-0005,100.0,1
AT-0006,2024-01-06,West,Technology,C-0006,100.0,1
AT-0007,2024-01-07,Central,Furniture,C-0007,100.0,1
AT-0008,2024-01-08,South,Office Supplies,C-0008,100.0,1
AT-0009,2024-01-09,East,Technology,C-0009,100.0,1
AT-0010,2024-01-10,West,Furniture,C-0010,100.0,1
AT-0011,2024-01-11,Central,Office Supplies,C-0011,100.0,1
AT-0012,2024-01-12,South,Technology,C-0012,100.0,1
AT-0013,2024-01-13,East,Furniture,C-0013,100.0,1
AT-0014,2024-01-14,West,Office Supplies,C-0014,100.0,1
AT-0015,2024-01-15,Central,Technology,C-0015,100.0,1
AT-0016,2024-01-16,South,Furniture,C-0016,100.0,1
AT-0017,2024-01-17,East,Office Supplies,C-0017,100.0,1
AT-0018,2024-01-18,West,Technology,C-0018,100.0,1
AT-0019,2024-01-19,Central,Furniture,C-0019,100.0,1
AT-0020,2024-01-20,South,Office Supplies,C-0020,100.0,1
AT-0021,2024-01-21,East,Technology,C-0021,100.0,1
AT-0022,2024-01-22,West,Furniture,C-0022,100.0,1
AT-0023,2024-01-23,Central,Office Supplies,C-0023,100.0,1
AT-0024,2024-01-24,South,Technology,C-0024,100.0,1
AT-0025,2024-01-25,East,Furniture,C-0025,100.0,1
AT-0026,2024-01-26,West,Office Supplies,C-0026,100.0,1
AT-0027,2024-01-27,Central,Technology,C-0027,100.0,1
AT-0028,2024-01-28,South,Furniture,C-0028,100.0,1
AT-0029,2024-01-29,East,Office Supplies,C-0029,100.0,1
AT-0030,2024-01-30,West,Technology,C-0030,100.0,1
AT-0031,2024-01-31,Central,Furniture,C-0031,100.0,1
AT-0032,2024-01-01,South,Office Supplies,C-0032,100.0,1
AT-0033,2024-01-02,East,Technology,C-0033,100.0,1
AT-0034,2024-01-03,West,Furniture,C-0034,100.0,1
AT-0035,2024-01-04,Central,Office Supplies,C-0035,100.0,1
AT-0036,2024-01-05,South,Technology,C-0036,100.0,1
AT-0037,2024-01-06,East,Furniture,C-0037,100.0,1
AT-0038,2024-01-07,West,Office Supplies,C-0038,100.0,1
AT-0039,2024-01-08,Central,Technology,C-0039,100.0,1
AT-0040,2024-01-09,South,Furniture,C-0040,100.0,1
AT-0041,2024-02-01,East,Furniture,C-0041,70.11,1
AT-0042,2024-02-02,West,Office Supplies,C-0042,69.67,1
AT-0043,2024-02-03,Central,Technology,C-0043,70.23,1
AT-0044,2024-02-04,South,Furniture,C-0044,69.66,1
AT-0045,2024-02-05,East,Office Supplies,C-0045,69.88,1
AT-0046,2024-02-06,West,Technology,C-0046,70.49,1
AT-0047,2024-02-07,Central,Furniture,C-0047,70.14,1
AT-0048,2024-02-08,South,Office Supplies,C-0048,70.06,1
AT-0049,2024-02-09,East,Technology,C-0049,70.18,1
AT-0050,2024-02-10,West,Furniture,C-0050,70.34,1
AT-0051,2024-02-11,Central,Office Supplies,C-0051,70.28,1
AT-0052,2024-02-12,South,Technology,C-0052,69.73,1
AT-0053,2024-02-13,East,Furniture,C-0053,69.53,1
AT-0054,2024-02-14,West,Office Supplies,C-0054,69.82,1
AT-0055,2024-02-15,Central,Technology,C-0055,69.77,1
AT-0056,2024-02-16,South,Furniture,C-0056,69.71,1
AT-0057,2024-02-17,East,Office Supplies,C-0057,70.44,1
AT-0058,2024-02-18,West,Technology,C-0058,70.38,1
AT-0059,2024-02-19,Central,Furniture,C-0059,69.81,1
AT-0060,2024-02-20,South,Office Supplies,C-0060,70.16,1
AT-0061,2024-02-21,East,Technology,C-0061,69.9,1
AT-0062,2024-02-22,West,Furniture,C-0062,70.41,1
AT-0063,2024-02-23,Central,Office Supplies,C-0063,69.96,1
AT-0064,2024-02-24,South,Technology,C-0064,69.76,1
AT-0065,2024-02-25,East,Furniture,C-0065,69.75,1
AT-0066,2024-02-26,West,Office Supplies,C-0066,70.06,1
AT-0067,2024-02-27,Central,Technology,C-0067,69.76,1
AT-0068,2024-02-28,South,Furniture,C-0068,70.08,1
AT-0069,2024-02-29,East,Office Supplies,C-0069,70.4,1
AT-0070,2024-02-01,West,Technology,C-0070,69.9,1
AT-0071,2024-02-02,Central,Furniture,C-0071,69.72,1
AT-0072,2024-02-03,South,Office Supplies,C-0072,70.5,1
AT-0073,2024-02-04,East,Technology,C-0073,70.01,1
AT-0074,2024-02-05,West,Furniture,C-0074,69.59,1
AT-0075,2024-02-06,Central,Office Supplies,C-0075,69.55,1
AT-0076,2024-02-07,South,Technology,C-0076,69.61,1
AT-0077,2024-02-08,East,Furniture,C-0077,70.13,1
AT-0078,2024-02-09,West,Office Supplies,C-0078,70.29,1
