order_id,order_date,region,category,customer_id,sales,quantity
CD-0001,2024-01-01,East,Furniture,C-0001,200.0,2
CD-0002,2024-01-03,East,Furniture,C-0002,200.0,2
CD-0003,2024-01-05,East,Furniture,C-0003,200.0,2
CD-0004,2024-01-07,East,Furniture,C-0004,200.0,2
CD-0005,2024-01-09,East,Furniture,C-0005,200.0,2
CD-0006,2024-01-01,East,Office Supplies,C-0006,200.0,2
CD-0007,2024-01-03,East,Office Supplies,C-0007,200.0,2
CD-0008,2024-01-05,East,Office Supplies,C-0008,200.0,2
CD-0009,2024-01-07,East,Office Supplies,C-0009,200.0,2
CD-0010,2024-01-09,East,Office Supplies,C-0010,200.0,2
CD-0011,2024-01-01,East,Technology,C-0011,200.0,2
CD-0012,2024-01-03,East,Technology,C-0012,200.0,2
CD-0013,2024-01-05,East,Technology,C-0013,200.0,2
CD-0014,2024-01-07,East,Technology,C-0014,200.0,2
CD-0015,2024-01-09,East,Technology,C-0015,200.0,2
CD-0016,2024-01-01,West,Furniture,C-0016,200.0,2
CD-0017,2024-01-03,West,Furniture,C-0017,200.0,2
CD-0018,2024-01-05,West,Furniture,C-0018,200.0,2
CD-0019,2024-01-07,West,Furniture,C-0019,200.0,2
CD-0020,2024-01-09,West,Furniture,C-0020,200.0,2
CD-0021,2024-01-01,West,Office Supplies,C-0021,200.0,2
CD-0022,2024-01-03,West,Office Supplies,C-0022,200.0,2
CD-0023,2024-01-05,West,Office Supplies,C-0023,200.0,2
CD-0024,2024-01-07,West,Office Supplies,C-0024,200.0,2
CD-0025,2024-01-09,West,Office Supplies,C-0025,200.0,2
CD-0026,2024-01-11,West,Office Supplies,C-0026,200.0,2
CD-0027,2024-01-13,West,Office Supplies,C-0027,200.0,2
CD-0028,2024-01-15,West,Office Supplies,C-0028,200.0,2
CD-0029,2024-01-17,West,Office Supplies,C-0029,200.0,2
CD-0030,2024-01-19,West,Office Supplies,C-0030,200.0,2
CD-0031,2024-01-21,West,Office Supplies,C-0031,200.0,2
CD-0032,2024-01-23,West,Office Supplies,C-0032,200.0,2
CD-0033,2024-01-25,West,Office Supplies,C-0033,200.0,2
CD-0034,2024-01-27,West,Office Supplies,C-0034,200.0,2
CD-0035,2024-01-29,West,Office Supplies,C-0035,200.0,2
CD-0036,2024-01-01,West,Technology,C-0036,200.0,2
CD-0037,2024-01-03,West,Technology,C-0037,200.0,2
CD-0038,2024-01-05,West,Technology,C-0038,200.0,2
CD-0039,2024-01-07,West,Technology,C-0039,200.0,2
CD-0040,2024-01-09,West,Technology,C-0040,200.0,2
CD-0041,2024-01-01,Central,Furniture,C-0041,200.0,2
CD-0042,2024-01-03,Central,Furniture,C-0042,200.0,2
CD-0043,2024-01-05,Central,Furniture,C-0043,200.0,2
CD-0044,2024-01-07,Central,Furniture,C-0044,200.0,2
CD-0045,2024-01-09,Central,Furniture,C-0045,200.0,2
CD-0046,2024-01-01,Central,Office Supplies,C-0046,200.0,2
CD-0047,2024-01-03,Central,Office Supplies,C-0047,200.0,2
CD-0048,2024-01-05,Central,Office Supplies,C-0048,200.0,2
CD-0049,2024-01-07,Central,Office Supplies,C-0049,200.0,2
CD-0050,2024-01-09,Central,Office Supplies,C-0050,200.0,2
CD-0051,2024-01-01,Central,Technology,C-0051,200.0,2
CD-0052,2024-01-03,Central,Technology,C-0052,200.0,2
CD-0053,2024-01-05,Central,Technology,C-0053,200.0,2
CD-0054,2024-01-07,Central,Technology,C-0054,200.0,2
CD-0055,2024-01-09,Central,Technology,C-0055,200.0,2
CD-0056,2024-01-01,South,Furniture,C-0056,200.0,2
CD-0057,2024-01-03,South,Furniture,C-0057,200.0,2
