Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
10001,85123A,WHITE HANGING HEART,10,2011-01-05 10:00:00,10.0,13001,United Kingdom
10002,71053,WHITE METAL LANTERN,4,2011-01-05 10:00:00,8.0,14001,France
10003,85123A,WHITE HANGING HEART,10,2011-01-07 10:00:00,10.0,13002,United Kingdom
10004,71053,WHITE METAL LANTERN,4,2011-01-07 10:00:00,8.0,14002,France
10005,85123A,WHITE HANGING HEART,10,2011-01-09 10:00:00,10.0,13003,United Kingdom
10006,71053,WHITE METAL LANTERN,4,2011-01-09 10:00:00,8.0,14003,France
10007,85123A,WHITE HANGING HEART,10,2011-01-11 10:00:00,10.0,13004,United Kingdom
10008,71053,WHITE METAL LANTERN,4,2011-01-11 10:00:00,8.0,14004,France
10009,85123A,WHITE HANGING HEART,10,2011-01-13 10:00:00,10.0,13005,United Kingdom
10010,71053,WHITE METAL LANTERN,4,2011-01-13 10:00:00,8.0,14005,France
10011,85123A,WHITE HANGING HEART,10,2011-01-15 10:00:00,10.0,13006,United Kingdom
10012,71053,WHITE METAL LANTERN,4,2011-01-15 10:00:00,8.0,14006,France
10013,85123A,WHITE HANGING HEART,10,2011-01-17 10:00:00,10.0,13007,United Kingdom
10014,71053,WHITE METAL LANTERN,4,2011-01-17 10:00:00,8.0,14007,France
10015,85123A,WHITE HANGING HEART,10,2011-01-19 10:00:00,10.0,13008,United Kingdom
10016,71053,WHITE METAL LANTERN,4,2011-01-19 10:00:00,8.0,14008,France
10017,85123A,WHITE HANGING HEART,10,2011-01-21 10:00:00,10.0,13009,United Kingdom
10018,71053,WHITE METAL LANTERN,4,2011-01-21 10:00:00,8.0,14009,France
10019,85123A,WHITE HANGING HEART,10,2011-01-23 10:00:00,10.0,13010,United Kingdom
10020,71053,WHITE METAL LANTERN,4,2011-01-23 10:00:00,8.0,14010,France
10021,85123A,WHITE HANGING HEART,10,2011-01-25 10:00:00,10.0,13011,United Kingdom
10022,71053,WHITE METAL LANTERN,4,2011-01-25 10:00:00,8.0,14011,France
10023,85123A,WHITE HANGING HEART,2,2011-01-15 11:00:00,10.0,,United Kingdom
C10024,85123A,WHITE HANGING HEART,-10,2011-01-20 10:00:00,10.0,17000,United Kingdom
10025,85123A,WHITE HANGING HEART,3,2011-02-05 10:00:00,10.0,15001,United Kingdom
10026,71053,WHITE METAL LANTERN,4,2011-02-05 10:00:00,8.0,16001,France
10027,85123A,WHITE HANGING HEART,3,2011-02-07 10:00:00,10.0,15002,United Kingdom
10028,71053,WHITE METAL LANTERN,4,2011-02-07 10:00:00,8.0,16002,France
10029,85123A,WHITE HANGING HEART,3,2011-02-09 10:00:00,10.0,15003,United Kingdom
10030,71053,WHITE METAL LANTERN,4,2011-02-09 10:00:00,8.0,16003,France
10031,85123A,WHITE HANGING HEART,3,2011-02-11 10:00:00,10.0,15004,United Kingdom
10032,71053,WHITE METAL LANTERN,4,2011-02-11 10:00:00,8.0,16004,France
10033,85123A,WHITE HANGING HEART,3,2011-02-13 10:00:00,10.0,15005,United Kingdom
10034,71053,WHITE METAL LANTERN,4,2011-02-13 10:00:00,8.0,16005,France
10035,85123A,WHITE HANGING HEART,3,2011-02-15 10:00:00,10.0,15006,United Kingdom
10036,71053,WHITE METAL LANTERN,4,2011-02-15 10:00:00,8.0,16006,France
10037,85123A,WHITE HANGING HEART,3,2011-02-17 10:00:00,10.0,15007,United Kingdom
10038,71053,WHITE METAL LANTERN,4,2011-02-17 10:00:00,8.0,16007,France
10039,85123A,WHITE HANGING HEART,3,2011-02-19 10:00:00,10.0,15008,United Kingdom
10040,71053,WHITE METAL LANTERN,4,2011-02-19 10:00:00,8.0,16008,France
10041,85123A,WHITE HANGING HEART,3,2011-02-21 10:00:00,10.0,15009,United Kingdom
10042,71053,WHITE METAL LANTERN,4,2011-02-21 10:00:00,8.0,16009,France
10043,85123A,WHITE HANGING HEART,3,2011-02-23 10:00:00,10.0,15010,United Kingdom
10044,71053,WHITE METAL LANTERN,4,2011-02-23 10:00:00,8.0,16010,France
10045,85123A,WHITE HANGING HEART,3,2011-02-25 10:00:00,10.0,15011,United Kingdom
10046,71053,WHITE METAL LANTERN,4,2011-02-25 10:00:00,8.0,16011,France
C10047,71053,WHITE METAL LANTERN,-2,2011-02-10 10:00:00,8.0,17001,France
