trip_id,pickup_datetime,pickup_borough,payment_type,fare_amount,passenger_count
T-0001,2016-01-02 12:00:00,Manhattan,Card,80.0,1
T-0002,2016-01-04 12:00:00,Manhattan,Card,80.0,1
T-0003,2016-01-06 12:00:00,Manhattan,Card,80.0,1
T-0004,2016-01-08 12:00:00,Manhattan,Card,80.0,1
T-0005,2016-01-10 12:00:00,Manhattan,Card,80.0,1
T-0006,2016-01-12 12:00:00,Manhattan,Card,80.0,1
T-0007,2016-01-14 12:00:00,Manhattan,Card,80.0,1
T-0008,2016-01-16 12:00:00,Manhattan,Card,80.0,1
T-0009,2016-01-18 12:00:00,Manhattan,Card,80.0,1
T-0010,2016-01-20 12:00:00,Manhattan,Card,80.0,1
T-0011,2016-01-22 12:00:00,Manhattan,Card,80.0,1
T-0012,2016-01-24 12:00:00,Manhattan,Card,80.0,1
T-0013,2016-01-02 12:00:00,Manhattan,Cash,80.0,1
T-0014,2016-01-05 12:00:00,Manhattan,Cash,80.0,1
T-0015,2016-01-08 12:00:00,Manhattan,Cash,80.0,1
T-0016,2016-01-11 12:00:00,Manhattan,Cash,80.0,1
T-0017,2016-01-02 12:00:00,Queens,Card,25.0,1
T-0018,2016-01-03 12:00:00,Brooklyn,Cash,25.0,2
T-0019,2016-01-06 12:00:00,Queens,Card,25.0,1
T-0020,2016-01-07 12:00:00,Brooklyn,Cash,25.0,2
T-0021,2016-01-10 12:00:00,Queens,Card,25.0,1
T-0022,2016-01-11 12:00:00,Brooklyn,Cash,25.0,2
T-0023,2016-01-14 12:00:00,Queens,Card,25.0,1
T-0024,2016-01-15 12:00:00,Brooklyn,Cash,25.0,2
T-0025,2016-01-18 12:00:00,Queens,Card,25.0,1
T-0026,2016-01-19 12:00:00,Brooklyn,Cash,25.0,2
T-0027,2016-01-22 12:00:00,Queens,Card,25.0,1
T-0028,2016-01-23 12:00:00,Brooklyn,Cash,25.0,2
T-0029,2016-02-02 12:00:00,Manhattan,Card,15.0,1
T-0030,2016-02-08 12:00:00,Manhattan,Card,15.0,1
T-0031,2016-02-03 12:00:00,Manhattan,Cash,15.0,1
T-0032,2016-02-08 12:00:00,Manhattan,Cash,15.0,1
T-0033,2016-02-02 12:00:00,Queens,Card,25.0,1
T-0034,2016-02-03 12:00:00,Brooklyn,Cash,25.0,2
T-0035,2016-02-06 12:00:00,Queens,Card,25.0,1
T-0036,2016-02-07 12:00:00,Brooklyn,Cash,25.0,2
T-0037,2016-02-10 12:00:00,Queens,Card,25.0,1
T-0038,2016-02-11 12:00:00,Brooklyn,Cash,25.0,2
T-0039,2016-02-14 12:00:00,Queens,Card,25.0,1
T-0040,2016-02-15 12:00:00,Brooklyn,Cash,25.0,2
T-0041,2016-02-18 12:00:00,Queens,Card,25.0,1
T-0042,2016-02-19 12:00:00,Brooklyn,Cash,25.0,2
T-0043,2016-02-22 12:00:00,Queens,Card,25.0,1
T-0044,2016-02-23 12:00:00,Brooklyn,Cash,25.0,2
